Profundidade [m],Densidade Aparente Seca [g/cm3]
2542.4,1.8500010000000002
2542.6,1.922896
2542.8,1.952766
2543.0,1.966624
2543.2,1.9396870000000002
2543.4,1.907741
2543.6,1.8923029999999998
2543.8,1.909483
2544.0,1.9459
2544.2,1.9367079999999999
2544.4,1.9164120000000002
2544.6,1.899111
2544.8,1.877768
2545.0,1.9130360000000002
2545.2,1.9256980000000001
2545.4,1.960501
2545.6,1.9688440000000003
2545.8,1.9884439999999999
2546.0,1.984452
2546.2,1.9538559999999998
2546.4,1.8827660000000002
2546.6,1.8432399999999998
2546.8,1.835516
2547.0,1.865964
2547.2,1.887083
2547.4,1.9223750000000002
2547.6,1.924104
2547.8,1.8586060000000002
2548.0,1.8131160000000002
2548.2,1.8626360000000002
2548.4,1.896971
2548.6,1.8977269999999997
2548.8,1.8704750000000003
2549.0,1.8680249999999998
2549.2,1.8731409999999997
2549.4,1.887819
2549.6,1.9369709999999998
2549.8,1.898011
2550.0,1.803669
2550.2,1.7957490000000003
2550.4,1.828062
2550.6,1.889079
2550.8,1.968473
2551.0,1.9958739999999997
2551.2,2.00358
2551.4,2.012234
2551.6,2.012874
2551.8,2.0045100000000002
2552.0,1.9921579999999999
2552.2,1.99662
2552.4,1.9891240000000001
2552.6,1.978199
2552.8,1.994904
2553.0,2.015563
2553.2,1.920616
2553.4,1.915124
2553.6,1.9563140000000003
2553.8,1.971891
2554.0,1.961368
2554.2,1.940527
2554.4,1.925787
2554.6,1.9206010000000002
2554.8,1.933199
2555.0,1.9517190000000002
2555.2,1.9488850000000002
2555.4,1.9505139999999999
2555.6,1.941909
2555.8,1.9650459999999998
2556.0,1.969393
2556.2,1.953884
2556.4,1.908592
2556.6,1.916655
2556.8,1.9321800000000002
2557.0,1.9382220000000001
2557.2,1.9183380000000003
2557.4,1.938542
2557.6,1.942599
2557.8,1.92843
2558.0,1.9040200000000003
2558.2,1.938906
2558.4,1.931526
2558.6,1.948648
2558.8,1.943501
2559.0,1.9383409999999999
2559.2,1.9573129999999999
2559.4,1.97409
2559.6,1.94927
2559.8,1.9601870000000001
2560.0,1.964118
2560.2,1.94981
2560.4,1.96954
2560.6,1.965151
2560.8,1.9517060000000002
2561.0,1.9533349999999998
2561.2,1.948295
2561.4,1.9532819999999997
2561.6,1.929159
2561.8,1.9201739999999998
2562.0,1.9270490000000002
2562.2,1.8994320000000002
2562.4,1.91133
2562.6,1.906945
2562.8,1.8975069999999998
2563.0,1.904233
2563.2,1.9418990000000003
2563.4,1.964063
2563.6,1.93342
2563.8,1.914733
2564.0,1.912755
2564.2,1.942275
2564.4,1.941204
2564.6,1.8971669999999998
2564.8,1.9319060000000001
2565.0,1.9812790000000002
2565.2,1.9965450000000002
2565.4,1.992546
2565.6,2.0046220000000003
2565.8,2.013512
2566.0,1.981195
2566.2,1.943788
2566.4,1.9224599999999998
2566.6,1.9283050000000002
2566.8,1.962399
2567.0,1.9581179999999998
2567.2,1.945992
2567.4,1.926656
2567.6,1.9456229999999999
2567.8,1.932172
2568.0,1.914816
2568.2,1.918438
2568.4,1.938787
2568.6,1.955958
2568.8,1.975212
2569.0,1.9878449999999999
2569.2,1.9661560000000002
2569.4,1.945804
2569.6,1.925207
2569.8,1.9038059999999999
2570.0,1.9110679999999998
2570.2,1.9220140000000001
2570.4,1.8791710000000001
2570.6,1.880204
2570.8,1.9044529999999997
2571.0,1.899775
2571.2,1.910781
2571.4,1.9282819999999998
2571.6,1.93478
2571.8,1.882185
2572.0,1.8512449999999998
2572.2,1.863003
2572.4,1.884856
2572.6,1.880877
2572.8,1.8645200000000002
2573.0,1.921328
2573.2,1.953232
2573.4,1.943971
2573.6,1.9635519999999997
2573.8,1.9636419999999999
2574.0,1.9628700000000001
2574.2,1.9761780000000002
2574.4,1.98633
2574.6,1.967813
2574.8,1.9582819999999996
2575.0,1.936418
2575.2,1.9295860000000002
2575.4,1.8954929999999999
2575.6,1.897065
2575.8,1.911096
2576.0,1.9593080000000003
2576.2,1.9721160000000002
2576.4,1.950488
2576.6,1.8962539999999999
2576.8,1.8901979999999998
2577.0,1.925598
2577.2,1.930773
2577.4,1.9192359999999997
2577.6,1.873114
2577.8,1.8848470000000002
2578.0,1.928845
2578.2,1.9364119999999998
2578.4,1.9022929999999998
2578.6,1.8886269999999998
2578.8,1.9111669999999998
2579.0,1.914625
2579.2,1.9043400000000001
2579.4,1.8578019999999997
2579.6,1.8032819999999998
2579.8,1.8513830000000002
2580.0,1.902974
2580.2,1.9342830000000002
2580.4,1.940715
2580.6,1.9436939999999998
2580.8,1.921546
2581.0,1.9177920000000002
2581.2,1.8882190000000003
2581.4,1.883616
2581.6,1.845567
2581.8,1.826874
2582.0,1.8145729999999998
2582.2,1.848503
2582.4,1.888974
2582.6,1.8923310000000002
2582.8,1.8868769999999997
2583.0,1.9386339999999997
2583.2,1.9168990000000001
2583.4,1.8734680000000001
2583.6,1.879295
2583.8,1.9161229999999998
2584.0,1.906421
2584.2,1.899862
2584.4,1.8463479999999999
2584.6,1.8100120000000002
2584.8,1.8084760000000002
2585.0,1.8376620000000001
2585.2,1.864494
2585.4,1.9009880000000001
2585.6,1.9167169999999998
2585.8,1.9010980000000002
2586.0,1.849035
2586.2,1.8482020000000001
2586.4,1.872265
2586.6,1.837394
2586.8,1.8559960000000002
2587.0,1.8778429999999997
2587.2,1.9051310000000001
2587.4,1.8709539999999998
2587.6,1.893729
2587.8,1.926364
2588.0,1.924908
2588.2,1.8763260000000002
2588.4,1.818613
2588.6,1.832213
2588.8,1.8903949999999998
2589.0,1.9051060000000002
2589.2,1.867378
2589.4,1.842232
2589.6,1.824172
2589.8,1.8282570000000002
2590.0,1.863523
2590.2,1.912144
2590.4,1.904969
2590.6,1.8301329999999998
2590.8,1.8049889999999997
2591.0,1.827537
2591.2,1.805579
2591.4,1.851237
2591.6,1.860041
2591.8,1.873739
2592.0,1.896655
2592.2,1.915772
2592.4,1.887664
2592.6,1.929229
2592.8,1.887982
2593.0,1.864878
2593.2,1.845851
2593.4,1.8449650000000002
2593.6,1.8720150000000002
2593.8,1.874305
2594.0,1.8411940000000002
2594.2,1.841785
2594.4,1.8623950000000002
2594.6,1.8716490000000001
2594.8,1.8601989999999997
2595.0,1.8500309999999998
2595.2,1.856154
2595.4,1.8752170000000001
2595.6,1.8453850000000003
2595.8,1.84272
2596.0,1.8698990000000002
2596.2,1.893327
2596.4,1.899799
2596.6,1.878965
2596.8,1.860433
2597.0,1.8163089999999997
2597.2,1.830962
2597.4,1.8167870000000002
2597.6,1.8137930000000002
2597.8,1.8279929999999998
2598.0,1.8232249999999999
2598.2,1.6734529999999999
2598.4,1.563755
2598.6,1.4675289999999999
2598.8,1.5133290000000001
2599.0,1.613797
2599.2,1.812926
2599.4,1.781466
2599.6,1.7574239999999999
2599.8,1.7129789999999998
2600.0,1.7515420000000002
2600.2,1.7732810000000003
2600.4,1.7794050000000001
2600.6,1.7816599999999998
2600.8,1.783961
2601.0,1.7870840000000001
2601.2,1.804322
2601.4,1.788172
2601.6,1.7821859999999998
2601.8,1.8469740000000001
2602.0,1.857777
2602.2,1.8222610000000001
2602.4,1.8141089999999997
2602.6,1.821996
2602.8,1.8202099999999999
2603.0,1.8657339999999998
2603.2,1.8509330000000002
2603.4,1.8389950000000002
2603.6,1.795326
2603.8,1.787424
2604.0,1.780915
2604.2,1.8032259999999998
2604.4,1.8349499999999999
2604.6,1.85683
2604.8,1.84959
2605.0,1.869776
2605.2,1.8847219999999998
2605.4,1.834299
2605.6,1.830638
2605.8,1.8295069999999998
2606.0,1.805252
2606.2,1.8034099999999997
2606.4,1.8082320000000003
2606.6,1.796994
2606.8,1.801522
2607.0,1.802378
2607.2,1.802792
2607.4,1.7576569999999998
2607.6,1.775919
2607.8,1.7555999999999998
2608.0,1.7273420000000002
2608.2,1.765391
2608.4,1.8191
2608.6,1.825186
2608.8,1.8153479999999997
2609.0,1.802038
2609.2,1.784717
2609.4,1.807001
2609.6,1.843528
2609.8,1.818788
2610.0,1.8361610000000002
2610.2,1.823525
2610.4,1.806261
2610.6,1.795339
2610.8,1.7939930000000002
2611.0,1.8374489999999999
2611.2,1.835373
2611.4,1.8529019999999998
2611.6,1.83731
2611.8,1.7579390000000001
2612.0,1.735909
2612.2,1.761755
2612.4,1.848252
2612.6,1.8614190000000002
2612.8,1.843074
2613.0,1.8196609999999998
2613.2,1.816158
2613.4,1.8218740000000002
2613.6,1.791286
2613.8,1.752476
2614.0,1.7674279999999998
2614.2,1.770591
2614.4,1.7621670000000003
2614.6,1.790135
2614.8,1.8463439999999998
2615.0,1.8277139999999998
2615.2,1.766499
2615.4,1.686961
2615.6,1.6683910000000002
2615.8,1.7294260000000001
2616.0,1.841876
2616.2,1.8856519999999999
2616.4,1.839358
2616.6,1.8006179999999998
2616.8,1.8046309999999999
2617.0,1.772443
2617.2,1.7089690000000002
2617.4,1.702499
2617.6,1.7087570000000003
2617.8,1.7161179999999998
2618.0,1.716879
2618.2,1.721549
2618.4,1.648337
2618.6,1.587064
2618.8,1.6447619999999998
2619.0,1.7581509999999998
2619.2,1.8236990000000002
2619.4,1.8568799999999999
2619.6,1.8373069999999998
2619.8,1.828182
2620.0,1.841872
2620.2,1.7715839999999998
2620.4,1.7889059999999999
2620.6,1.782556
2620.8,1.754909
2621.0,1.7105959999999998
2621.2,1.6899430000000002
2621.4,1.6949500000000002
2621.6,1.80831
2621.8,1.883029
2622.0,1.8862169999999998
2622.2,1.846641
2622.4,1.8721290000000002
2622.6,1.885418
2622.8,1.864785
2623.0,1.855994
2623.2,1.8392099999999998
2623.4,1.7675709999999998
2623.6,1.790958
2623.8,1.804315
2624.0,1.8056590000000001
2624.2,1.801487
2624.4,1.780874
2624.6,1.739484
2624.8,1.718204
2625.0,1.67589
2625.2,1.6367840000000002
2625.4,1.7132939999999999
2625.6,1.766671
2625.8,1.7894079999999999
2626.0,1.7775670000000001
2626.2,1.711843
2626.4,1.6470520000000002
2626.6,1.5986750000000003
2626.8,1.6259330000000003
2627.0,1.6710369999999999
2627.2,1.7314189999999998
2627.4,1.744202
2627.6,1.7562019999999998
2627.8,1.771488
2628.0,1.707061
2628.2,1.6942610000000002
2628.4,1.757361
2628.6,1.764964
2628.8,1.823166
2629.0,1.8035579999999998
2629.2,1.787673
2629.4,1.719542
2629.6,1.741564
2629.8,1.801257
2630.0,1.7953400000000002
2630.2,1.7468350000000001
2630.4,1.782127
2630.6,1.8232820000000003
2630.8,1.774717
2631.0,1.6724479999999997
2631.2,1.626664
2631.4,1.627424
