Depth(m) COT DT GR NPHI RHOB
4916.104600000001 2.013124869649295 68.5397 69.06301 15.21299 2.537043
4916.3046 1.8273243899179759 65.98313 63.81005 13.5537 2.554884
4916.5046 2.052094414446623 64.34284 70.13641 11.36776 2.580117
4916.704600000001 2.4069858638161534 64.23848 80.13626 8.122844 2.6005
4916.9046 2.40973131513841 63.97884 80.2166 4.650848 2.602204
4917.104600000001 2.2690534155240263 65.17766 76.249 6.236762 2.590679
4917.3046 2.176533147556324 67.32162 73.65325 9.671144 2.585267
4917.5046 2.0677902869345033 68.32009 70.5967 10.52799 2.572992
4917.704600000001 2.0779936205091536 68.19241 70.89127 10.96456 2.56843
4917.9046 2.2607527427119036 67.8296 76.05605 11.67127 2.566198
4918.104600000001 2.4060571006625544 68.01762 80.13869 10.56501 2.571448
4918.3046 2.2302616364257033 68.61409 75.16045 9.277547 2.572034
4918.5046 1.941034569938378 69.22644 66.98768 9.775301 2.56583
4918.704600000001 2.0596597342035383 68.56915 70.36005 11.17728 2.568523
4918.9046 2.2011566909502434 67.57549 74.36526 11.09967 2.587929
4919.104600000001 1.9857443683538163 66.2555 68.27523 8.359972 2.60028
4919.3046 2.034612906209393 64.18596 69.63475 5.322814 2.586019
4919.5046 2.5309470861628642 61.86111 83.62312 4.108868 2.56266
4919.704600000001 2.715861352067137 63.19083 88.82542 3.504179 2.53503
4919.9046 2.5491130768664325 66.45566 84.10598 3.454861 2.529207
4920.104600000001 2.5716254442173856 68.23054 84.7771 7.147099 2.540331
4920.3046 2.8076099150978884 68.00553 91.51911 14.86692 2.563073
4920.5046 2.9080315074230563 65.67856 94.36449 16.35209 2.571064
4920.704600000001 2.6776756838735367 63.29679 87.82748 9.671477 2.566941
4920.9046 2.1050464842634145 63.71453 71.6097 4.986792 2.561145
4921.104600000001 1.8292950472722427 65.06893 63.81367 7.237005 2.586251
4921.3046 2.0186165534742506 65.97333 69.2103 10.83757 2.598446
4921.5046 1.9319891273947323 64.78216 66.78707 13.23167 2.61591
4921.704600000001 1.3451417624175088 63.42822 50.19977 11.23751 2.604012
4921.9046 0.8949090963509838 63.06247 37.45257 6.63928 2.590944
4922.104600000001 1.0881946975844348 64.56386 42.85809 5.711559 2.586383
4922.3046 1.7530452749296774 66.92364 61.6397 7.952719 2.567483
4922.5046 2.589382803491176 67.6738 85.32095 13.21367 2.541658
4922.704600000001 2.9821055935920686 66.10257 96.45283 14.49315 2.544032
4922.9046 2.743791757966306 64.08041 89.72213 10.93604 2.582064
4923.104600000001 2.645031304772307 63.95194 86.89026 7.41289 2.612213
4923.3046 2.9736170045230907 65.26962 96.14204 6.528301 2.617464
4923.5046 3.2225340099977497 67.0243 103.1874 10.06366 2.619192
4923.704600000001 3.169427918300408 67.19115 101.7174 14.0741 2.611423
4923.9046 2.914627602405677 66.89347 94.53473 14.21633 2.583366
4924.104600000001 2.2792160623513102 66.59524 76.57388 10.2878 2.549503
4924.3046 1.854313656700363 66.44544 64.53453 8.148602 2.522735
4924.5046 1.9926034010065239 66.89297 68.43749 9.268102 2.494841
4924.704600000001 2.0491269647854997 66.85317 70.04226 10.58135 2.476516
4924.9046 1.90550553065022 65.29266 66.00654 8.727899 2.482444
4925.104600000001 1.9437943930845614 62.87543 67.09662 6.310438 2.510464
4925.3046 1.8908911184531694 60.90986 65.63258 5.156662 2.541723
4925.5046 1.6518385473123638 60.54984 58.88645 3.949037 2.561289
4925.704600000001 1.7390352523192916 61.25116 61.32632 3.736246 2.593085
4925.9046 2.299971325761006 64.41975 77.14604 7.359466 2.631424
4926.104600000001 2.7765064372268204 67.56422 90.59983 11.17148 2.645454
4926.3046 2.8462480929584073 67.48154 92.57426 10.33633 2.636742
4926.5046 3.1838227926076357 65.81621 102.1529 9.5957 2.62953
4926.704600000001 3.6990573476370976 63.99118 116.7371 12.26982 2.619954
